Unnamed: 0,地块名,黄豆,黑豆,红豆,绿豆,爬豆,小麦,玉米,谷子,高粱,黍子,荞麦,南瓜,红薯,莜麦,大麦,水稻,豇豆,刀豆,芸豆,土豆,西红柿,茄子,菠菜 ,青椒,菜花,包菜,油麦菜,小青菜,黄瓜,生菜 ,辣椒,空心菜,黄心菜,芹菜,大白菜,白萝卜,红萝卜,榆黄菇,香菇,白灵菇,羊肚菌
"第
一
季",A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"第
二
季",D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：,(1) 表格中填写各种农作物每季种植的亩数。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(2) 单季农作物的种植亩数填在第一季相应的单元格中。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(3) 不要对表格的形式作任何修改。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
