地块名称,作物编号,作物名称,作物类型,种植面积/亩,种植季次,地块类型,亩产量,种植时间段,预期销售量
A1,6,小麦,粮食,80.0,单季,平旱地,800,未知,64000.0
A2,7,玉米,粮食,55.0,单季,平旱地,1000,未知,55000.0
A3,7,玉米,粮食,35.0,单季,平旱地,1000,未知,35000.0
A4,1,黄豆,粮食（豆类）,72.0,单季,平旱地,400,未知,28800.0
A5,4,绿豆,粮食（豆类）,68.0,单季,平旱地,350,未知,23800.0
A6,8,谷子,粮食,55.0,单季,平旱地,400,未知,22000.0
B1,6,小麦,粮食,60.0,单季,梯田,760,未知,45600.0
B2,2,黑豆,粮食（豆类）,46.0,单季,梯田,475,未知,21850.0
B3,3,红豆,粮食（豆类）,40.0,单季,梯田,380,未知,15200.0
B4,4,绿豆,粮食（豆类）,28.0,单季,梯田,330,未知,9240.0
B5,5,爬豆,粮食（豆类）,25.0,单季,梯田,395,未知,9875.0
B6,8,谷子,粮食,86.0,单季,梯田,380,未知,32680.0
B7,6,小麦,粮食,55.0,单季,梯田,760,未知,41800.0
B8,8,谷子,粮食,44.0,单季,梯田,380,未知,16720.0
B9,9,高粱,粮食,50.0,单季,梯田,600,未知,30000.0
B10,10,黍子,粮食,25.0,单季,梯田,500,未知,12500.0
B11,1,黄豆,粮食（豆类）,60.0,单季,梯田,380,未知,22800.0
B12,7,玉米,粮食,45.0,单季,梯田,950,未知,42750.0
B13,14,莜麦,粮食,35.0,单季,梯田,400,未知,14000.0
B14,15,大麦,粮食,20.0,单季,梯田,500,未知,10000.0
C1,11,荞麦,粮食,15.0,单季,山坡地,100,未知,1500.0
C2,12,南瓜,粮食,13.0,单季,山坡地,2700,未知,35100.0
C3,1,黄豆,粮食（豆类）,15.0,单季,山坡地,360,未知,5400.0
C4,13,红薯,粮食,18.0,单季,山坡地,2000,未知,36000.0
C5,6,小麦,粮食,27.0,单季,山坡地,720,未知,19440.0
C6,3,红豆,粮食（豆类）,20.0,单季,山坡地,360,未知,7200.0
D1,20,土豆,蔬菜 ,15.0,第一季,水浇地,2000,3月-6月,30000.0
D1,36,白萝卜,蔬菜 ,15.0,第二季,水浇地,4000,7月-10月,60000.0
D2,28,小青菜,蔬菜 ,10.0,第一季,水浇地,3200,3月-6月,32000.0
D2,35,大白菜,蔬菜 ,10.0,第二季,水浇地,5000,7月-10月,50000.0
D3,21,西红柿,蔬菜 ,14.0,第一季,水浇地,2400,3月-6月,33600.0
D3,35,大白菜,蔬菜 ,14.0,第二季,水浇地,5000,7月-10月,70000.0
D4,22,茄子,蔬菜 ,6.0,第一季,水浇地,6400,3月-6月,38400.0
D4,35,大白菜,蔬菜 ,6.0,第二季,水浇地,5000,7月-10月,30000.0
D5,17,豇豆,蔬菜（豆类）,10.0,第一季,水浇地,3000,3月-6月,30000.0
D5,36,白萝卜,蔬菜 ,10.0,第二季,水浇地,4000,7月-10月,40000.0
D6,18,刀豆,蔬菜（豆类）,12.0,第一季,水浇地,2000,3月-6月,24000.0
D6,37,红萝卜,蔬菜 ,12.0,第二季,水浇地,3000,7月-10月,36000.0
D7,16,水稻,粮食,22.0,单季,水浇地,500,未知,11000.0
D8,16,水稻,粮食,20.0,单季,水浇地,500,未知,10000.0
E1,18,刀豆,蔬菜（豆类）,0.6,第一季,普通大棚 ,2400,未知,1440.0
E1,38,榆黄菇,食用菌,0.6,第二季,普通大棚 ,5000,未知,3000.0
E2,24,青椒,蔬菜 ,0.6,第一季,普通大棚 ,3000,未知,1800.0
E2,38,榆黄菇,食用菌,0.6,第二季,普通大棚 ,5000,未知,3000.0
E3,25,菜花,蔬菜 ,0.6,第一季,普通大棚 ,4000,未知,2400.0
E3,38,榆黄菇,食用菌,0.6,第二季,普通大棚 ,5000,未知,3000.0
E4,26,包菜,蔬菜 ,0.6,第一季,普通大棚 ,4500,未知,2700.0
E4,39,香菇,食用菌,0.6,第二季,普通大棚 ,4000,未知,2400.0
E5,28,小青菜,蔬菜 ,0.6,第一季,普通大棚 ,4000,未知,2400.0
E5,39,香菇,食用菌,0.6,第二季,普通大棚 ,4000,未知,2400.0
E6,27,油麦菜,蔬菜 ,0.6,第一季,普通大棚 ,5000,未知,3000.0
E6,39,香菇,食用菌,0.6,第二季,普通大棚 ,4000,未知,2400.0
E7,19,芸豆,蔬菜（豆类）,0.6,第一季,普通大棚 ,3600,未知,2160.0
E7,40,白灵菇,食用菌,0.6,第二季,普通大棚 ,10000,未知,6000.0
E8,19,芸豆,蔬菜（豆类）,0.6,第一季,普通大棚 ,3600,未知,2160.0
E8,40,白灵菇,食用菌,0.6,第二季,普通大棚 ,10000,未知,6000.0
E9,18,刀豆,蔬菜（豆类）,0.6,第一季,普通大棚 ,2400,未知,1440.0
E9,40,白灵菇,食用菌,0.6,第二季,普通大棚 ,10000,未知,6000.0
E10,17,豇豆,蔬菜（豆类）,0.6,第一季,普通大棚 ,3600,未知,2160.0
E10,41,羊肚菌,食用菌,0.6,第二季,普通大棚 ,1000,未知,600.0
E11,17,豇豆,蔬菜（豆类）,0.6,第一季,普通大棚 ,3600,未知,2160.0
E11,41,羊肚菌,食用菌,0.6,第二季,普通大棚 ,1000,未知,600.0
E12,22,茄子,蔬菜 ,0.6,第一季,普通大棚 ,8000,未知,4800.0
E12,41,羊肚菌,食用菌,0.6,第二季,普通大棚 ,1000,未知,600.0
E13,21,西红柿,蔬菜 ,0.6,第一季,普通大棚 ,3000,未知,1800.0
E13,41,羊肚菌,食用菌,0.6,第二季,普通大棚 ,1000,未知,600.0
E14,29,黄瓜,蔬菜 ,0.6,第一季,普通大棚 ,15000,未知,9000.0
E14,41,羊肚菌,食用菌,0.6,第二季,普通大棚 ,1000,未知,600.0
E15,30,生菜,蔬菜 ,0.3,第一季,普通大棚 ,5000,未知,1500.0
E15,27,油麦菜,蔬菜 ,0.3,第一季,普通大棚 ,5000,未知,1500.0
E15,41,羊肚菌,食用菌,0.6,第二季,普通大棚 ,1000,未知,600.0
E16,31,辣椒,蔬菜 ,0.6,第一季,普通大棚 ,2000,未知,1200.0
E16,41,羊肚菌,食用菌,0.6,第二季,普通大棚 ,1000,未知,600.0
F1,32,空心菜,蔬菜 ,0.3,第一季,智慧大棚,12000,3月-7月,3600.0
F1,33,黄心菜,蔬菜 ,0.3,第一季,智慧大棚,6000,3月-7月,1800.0
F1,24,青椒,蔬菜 ,0.3,第二季,智慧大棚,2700,8月-次年2月,810.0
F1,21,西红柿,蔬菜 ,0.3,第二季,智慧大棚,2700,8月-次年2月,810.0
F2,25,菜花,蔬菜 ,0.3,第一季,智慧大棚,4000,3月-7月,1200.0
F2,26,包菜,蔬菜 ,0.3,第一季,智慧大棚,4500,3月-7月,1350.0
F2,22,茄子,蔬菜 ,0.3,第二季,智慧大棚,7200,8月-次年2月,2160.0
F2,29,黄瓜,蔬菜 ,0.3,第二季,智慧大棚,13500,8月-次年2月,4050.0
F3,17,豇豆,蔬菜（豆类）,0.6,第一季,智慧大棚,3600,3月-7月,2160.0
F3,28,小青菜,蔬菜 ,0.3,第二季,智慧大棚,3600,8月-次年2月,1080.0
F3,30,生菜 ,蔬菜 ,0.3,第二季,智慧大棚,4500,8月-次年2月,1350.0
F4,19,芸豆,蔬菜（豆类）,0.6,第一季,智慧大棚,3600,3月-7月,2160.0
F4,34,芹菜,蔬菜 ,0.3,第二季,智慧大棚,6000,8月-次年2月,1800.0
F4,23,菠菜 ,蔬菜 ,0.3,第二季,智慧大棚,3000,8月-次年2月,900.0
