地块名称,地块类型,地块面积/亩,说明 
A1,平旱地,80.0,"(1) 平旱地、梯田和山坡地每年都只能种植一季作物。

(2) 水浇地每年可以种植一季也可以种植两季作物。

(3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。
 
(4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。


 "
A2,平旱地,55.0,
A3,平旱地,35.0,
A4,平旱地,72.0,
A5,平旱地,68.0,
A6,平旱地,55.0,
B1,梯田,60.0,
B2,梯田,46.0,
B3,梯田,40.0,
B4,梯田,28.0,
B5,梯田,25.0,
B6,梯田,86.0,
B7,梯田,55.0,
B8,梯田,44.0,
B9,梯田,50.0,
B10,梯田,25.0,
B11,梯田,60.0,
B12,梯田,45.0,
B13,梯田,35.0,
B14,梯田,20.0,
C1,山坡地,15.0,
C2,山坡地,13.0,
C3,山坡地,15.0,
C4,山坡地,18.0,
C5,山坡地,27.0,
C6,山坡地,20.0,
D1,水浇地,15.0,
D2,水浇地,10.0,
D3,水浇地,14.0,
D4,水浇地,6.0,
D5,水浇地,10.0,
D6,水浇地,12.0,
D7,水浇地,22.0,
D8,水浇地,20.0,
E1,普通大棚 ,0.6,
E2,普通大棚 ,0.6,
E3,普通大棚 ,0.6,
E4,普通大棚 ,0.6,
E5,普通大棚 ,0.6,
E6,普通大棚 ,0.6,
E7,普通大棚 ,0.6,
E8,普通大棚 ,0.6,
E9,普通大棚 ,0.6,
E10,普通大棚 ,0.6,
E11,普通大棚 ,0.6,
E12,普通大棚 ,0.6,
E13,普通大棚 ,0.6,
E14,普通大棚 ,0.6,
E15,普通大棚 ,0.6,
E16,普通大棚 ,0.6,
F1,智慧大棚,0.6,
F2,智慧大棚,0.6,
F3,智慧大棚,0.6,
F4,智慧大棚,0.6,
